FIPS,02-28-2020,02-29-2020,03-01-2020,03-02-2020,03-03-2020,03-04-2020,03-05-2020,03-06-2020,03-07-2020,03-08-2020,03-09-2020,03-10-2020,03-11-2020,03-12-2020,03-13-2020,03-14-2020,03-15-2020,03-16-2020,03-17-2020,03-18-2020,03-19-2020,03-20-2020,03-21-2020,03-22-2020,03-23-2020,03-24-2020,03-25-2020,03-26-2020,03-27-2020,03-28-2020,03-29-2020,03-30-2020,03-31-2020,04-01-2020,04-02-2020,04-03-2020,04-04-2020,04-05-2020,04-06-2020,04-07-2020,04-08-2020,04-09-2020,04-10-2020,04-11-2020,04-12-2020,04-13-2020,04-14-2020,04-15-2020,04-16-2020,04-17-2020,04-18-2020,04-19-2020,04-20-2020,04-21-2020,04-22-2020,04-23-2020,04-24-2020,04-25-2020,04-26-2020,04-27-2020,04-28-2020,04-29-2020,04-30-2020,05-01-2020,05-02-2020,05-03-2020,05-04-2020,05-05-2020,05-06-2020,05-07-2020,05-08-2020,05-09-2020,05-10-2020,05-11-2020,05-12-2020,05-13-2020,05-14-2020,05-15-2020,05-16-2020,05-17-2020,05-18-2020,05-19-2020,05-20-2020,05-21-2020,05-22-2020,05-23-2020,05-24-2020,05-25-2020,05-26-2020,05-27-2020,05-28-2020,05-29-2020,05-30-2020,05-31-2020,06-01-2020,06-02-2020,06-03-2020,06-04-2020,06-05-2020,06-06-2020,06-07-2020,06-08-2020,06-09-2020,06-10-2020,06-11-2020,06-12-2020,06-13-2020,06-14-2020,06-15-2020,06-16-2020,06-17-2020,06-18-2020,06-19-2020,06-20-2020,06-21-2020,06-22-2020,06-23-2020,06-24-2020,06-25-2020,06-26-2020,06-27-2020,06-28-2020,06-29-2020,06-30-2020,07-01-2020,07-02-2020,07-03-2020,07-04-2020,07-05-2020,07-06-2020,07-07-2020,07-08-2020,07-09-2020,07-10-2020,07-11-2020,07-12-2020,07-13-2020,07-14-2020,07-15-2020,07-16-2020,07-17-2020,07-18-2020,07-19-2020,07-20-2020,07-21-2020,07-22-2020,07-23-2020,07-24-2020,07-25-2020,07-26-2020,07-27-2020,07-28-2020,07-29-2020,07-30-2020,07-31-2020
17031,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579545686296,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715,0.8223579570945715
17115,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808879895165,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331,0.6376808931414331
17197,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881410902873,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265,0.6954881454202265
17143,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074059209801,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921,0.6661074106686921
17089,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308932260715,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159,0.7000308974914159
17043,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635862998097,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608,0.7772635894669608
17201,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481519759303,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588,0.6912481563661588
17093,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548823427142,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709,0.6464548873698709
1073,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.713171571974757,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503,0.7131715760532503
